,Start,End
0,2026-06-28 09:40:00.338177,2026-06-28 09:40:00.707192
1,2026-06-28 09:40:01.458620,2026-06-28 09:40:01.971077
2,2026-06-28 09:40:02.081751,2026-06-28 09:40:02.322393
3,2026-06-28 09:40:02.529316,2026-06-28 09:40:02.866714
4,2026-06-28 09:40:09.937638,2026-06-28 09:40:10.082591
5,2026-06-28 09:40:10.211062,2026-06-28 09:40:10.276806
6,2026-06-28 09:40:10.561781,2026-06-28 09:40:10.723118
7,2026-06-28 09:40:10.962884,2026-06-28 09:40:11.074237
8,2026-06-28 09:40:11.378792,2026-06-28 09:40:12.050312
9,2026-06-28 09:40:27.330365,2026-06-28 09:40:28.866385
10,2026-06-28 09:40:34.690026,2026-06-28 09:40:38.068012
